,Start Date,Start Time Zone,End Date,End Time Zone,Total Duration (hh:mm:ss),Charging Time (hh:mm:ss),Energy (kWh),GHG Savings (kg),Gasoline Savings (gallons),Port Type,Port Number,Plug Type,EVSE ID,Fee,Ended By,Plug In Event Id,Start SOC,End SOC
10,2017-08-08 08:49:52,,2017-08-08 09:37:00,,0 days 00:47:07.000000000,0 days 00:47:00.000000000,17.428,,,DC Fast,1,,158787,,Plug Out at Station,14,,
11,2017-08-11 14:14:39,,2017-08-11 15:23:52,,0 days 01:09:13.000000000,0 days 01:08:40.000000000,36.524,,,DC Fast,1,,158787,,Plug Out at Station,15,,
12,2017-08-11 22:23:51,,2017-08-11 22:54:23,,0 days 00:30:31.000000000,0 days 00:30:20.000000000,15.815,,,DC Fast,1,,158787,,Plug Out at Station,16,,
13,2017-08-16 00:06:27,,2017-08-16 00:42:56,,0 days 00:36:28.000000000,0 days 00:36:12.000000000,16.51,,,DC Fast,1,,158787,,Plug Out at Station,17,,
14,2017-08-22 17:51:29,,2017-08-22 18:47:19,,0 days 00:55:49.000000000,0 days 00:52:56.000000000,17.904,,,DC Fast,1,,158787,,Plug Out at Station,1503445879,,
15,2017-08-29 16:05:20,,2017-08-29 16:55:31,,0 days 00:50:11.000000000,0 days 00:49:28.000000000,23.248,,,DC Fast,1,,158787,,Plug Out at Station,18,,
16,2017-09-03 12:49:30,,2017-09-03 14:08:20,,0 days 01:18:50.000000000,0 days 01:18:32.000000000,40.159,,,DC Fast,1,,158787,,Plug Out at Station,1504464559,,
17,2017-09-04 19:39:26,,2017-09-04 20:52:16,,0 days 01:12:50.000000000,0 days 01:12:28.000000000,44.619,,,DC Fast,1,,158787,,Plug Out at Station,1504575557,,
18,2017-09-19 19:25:04,,2017-09-19 20:08:42,,0 days 00:43:36.000000000,0 days 00:43:32.000000000,25.164,,,DC Fast,1,,158787,,Customer,19,,
19,2017-09-23 09:20:38,,2017-09-23 10:25:07,,0 days 01:04:28.000000000,0 days 01:04:11.000000000,38.398,,,DC Fast,1,,158787,,Plug Out at Station,1506180029,,
20,2017-09-24 21:06:40,,2017-09-24 22:34:20,,0 days 01:27:39.000000000,0 days 01:27:31.000000000,51.711999999999996,,,DC Fast,1,,158787,,Plug Out at Station,20,,
21,2017-09-25 08:07:51,,2017-09-25 08:55:47,,0 days 00:47:54.000000000,0 days 00:47:52.000000000,24.701,,,DC Fast,1,,158787,,Customer,21,,
22,2017-10-01 12:43:02,,2017-10-01 13:57:32,,0 days 01:14:29.000000000,0 days 01:12:24.000000000,35.536,,,DC Fast,1,,158787,,Plug Out at Station,22,,
23,2017-11-02 15:34:17,,2017-11-02 17:01:06,,0 days 01:26:47.000000000,0 days 01:26:27.000000000,45.785,,,DC Fast,1B,,158787,,Customer,23,,
