,alpha,alpha_log__,hyper_alpha_mu,hyper_alpha_sd,hyper_alpha_sd_interval__,hyper_mu_mu,hyper_mu_sd,hyper_mu_sd_interval__,mu,mu_log__,y_pred
39,37.863362638530695,3.6339839595479124,1.8798277980456768,9.247320832483389,-0.15082107856845525,0.9993564129756538,5.285400637169218,-1.0238917319533238,0.03243864106456053,-3.428404941347245,0
40,7.155062416400569,1.9678201364365522,2.157519888033553,7.500582935682395,-0.5107012660867202,1.618504206376145,6.359151565237768,-0.7631738856818356,0.006698142787803823,-5.005924986861263,0
41,3.747070650545486,1.3209743748634393,0.7095431552574193,5.521195638729168,-0.9640913737594982,0.8002939334674222,7.799678107833758,-0.4473798713773855,0.038249431670659,-3.2636265771034023,0
42,0.7420004620544913,-0.2984054131000026,2.1486896637435335,11.075095062951043,0.21585322315859598,1.4271977185896787,9.367242934041201,-0.12672071624381998,0.004608084282605158,-5.379943065259905,0
43,0.8614425169540642,-0.14914694961169336,0.4476395208698518,0.42622043598083725,-3.8269895044600886,0.13099556786917302,0.3430020431217761,-4.048452280247703,0.09731338871638603,-2.329818696827068,0
44,1.1112757500367234,0.10550867971404139,0.7550420502916598,1.993607144495794,-2.2007812201610237,0.5791464760057472,0.7990761638235149,-3.1792574081682896,0.04132065415583462,-3.186392803398256,0
45,3.2397968532929506,1.1755106282375947,0.9229806414602199,1.0282434262073545,-2.9150994421960057,0.39771891483525706,0.79292911694323,-3.1872999336867496,0.07152205550463829,-2.6377494082524913,0
46,0.0005730767182798293,-7.464490961416326,0.4888976151728513,1.3535048868540085,-2.622960758241897,1.4493030246380258,7.754051336129045,-0.4569797011473351,0.0032183046894734375,-5.738900552024776,0
47,1.634995421476416,0.4916400040250609,1.1468548904207914,1.8334691006748096,-2.2933710837996033,1.053150953394659,2.956248347258201,-1.75186265039135,0.024397422824374737,-3.713277774213227,0
48,8.634224143537822e-05,-9.35719160760664,0.33736284943710704,0.6307260543759691,-3.424571649182716,0.7144558950205036,2.1357462267380467,-2.123985613951732,0.0226182066324836,-3.789000093820749,0
49,3.600800155911517e-15,-33.25762030861497,1.9690651119929823,17.169868739329132,1.8028329376698737,1.4137976625284494,4.878495639799908,-1.1312809587172215,0.023066237623971877,-3.7693853053164332,0
50,5.172473298308051e-16,-35.19801051952157,1.9305758303778808,11.197373172463891,0.2406290325497344,1.2067150085997052,2.786044171448573,-1.8210977101819033,0.02566269423764794,-3.662716927736438,0
51,6.534685300090767e-25,-55.68750313500324,0.7465910324353513,18.77870678074578,2.732813296786628,1.325669452139861,5.06978549522877,-1.0800884707390008,0.039051104500783716,-3.2428841188254047,0
52,1.611927841790078e-32,-73.20529209588445,1.7109574428766834,7.588199301308713,-0.49205337225438434,0.9272607804263491,1.5920847517641974,-2.447736426612104,0.013087009029857608,-4.336135217922204,0
