Idx,Hour,DayCnt,DayYr,Connected
578,2,24,101,0
579,3,24,101,0
580,4,24,101,0
581,5,24,101,1
582,6,24,101,4
583,7,24,101,8
584,8,24,101,11
585,9,24,101,5
586,10,24,101,4
587,11,24,101,5
588,12,24,101,4
589,13,24,101,8
590,14,24,101,6
591,15,24,101,2
592,16,24,101,2
593,17,24,101,4
594,18,24,101,4
595,19,24,101,2
596,20,24,101,2
597,21,24,101,0
598,22,24,101,1
599,23,24,101,1
600,0,25,112,0
601,1,25,112,0
602,2,25,112,0
603,3,25,112,0
604,4,25,112,0
605,5,25,112,1
606,6,25,112,3
607,7,25,112,8
608,8,25,112,15
609,9,25,112,6
610,10,25,112,6
611,11,25,112,3
612,12,25,112,15
613,13,25,112,5
614,14,25,112,5
615,15,25,112,4
616,16,25,112,5
617,17,25,112,3
618,18,25,112,6
619,19,25,112,3
620,20,25,112,3
621,21,25,112,0
622,22,25,112,0
623,23,25,112,2
624,0,26,116,0
625,1,26,116,0
626,2,26,116,0
627,3,26,116,0
628,4,26,116,0
629,5,26,116,2
630,6,26,116,8
631,7,26,116,7
632,8,26,116,3
633,9,26,116,10
634,10,26,116,2
635,11,26,116,7
636,12,26,116,14
637,13,26,116,9
638,14,26,116,4
639,15,26,116,9
640,16,26,116,3
641,17,26,116,6
642,18,26,116,8
643,19,26,116,2
644,20,26,116,3
645,21,26,116,0
646,22,26,116,3
647,23,26,116,0
648,0,27,133,0
649,1,27,133,0
650,2,27,133,0
651,3,27,133,0
652,4,27,133,0
653,5,27,133,1
654,6,27,133,2
655,7,27,133,9
656,8,27,133,9
657,9,27,133,9
658,10,27,133,3
659,11,27,133,4
660,12,27,133,6
661,13,27,133,3
662,14,27,133,5
663,15,27,133,9
664,16,27,133,0
665,17,27,133,3
666,18,27,133,4
667,19,27,133,3
668,20,27,133,2
669,21,27,133,3
670,22,27,133,0
671,23,27,133,2
672,0,28,140,0
673,1,28,140,0
674,2,28,140,0
675,3,28,140,0
676,4,28,140,0
677,5,28,140,0
678,6,28,140,6
679,7,28,140,9
680,8,28,140,12
681,9,28,140,5
682,10,28,140,4
683,11,28,140,6
684,12,28,140,6
685,13,28,140,6
686,14,28,140,4
687,15,28,140,6
688,16,28,140,2
689,17,28,140,4
690,18,28,140,1
691,19,28,140,3
692,20,28,140,2
693,21,28,140,1
694,22,28,140,2
695,23,28,140,3
696,0,29,141,0
697,1,29,141,0
698,2,29,141,0
699,3,29,141,0
700,4,29,141,0
701,5,29,141,2
702,6,29,141,10
703,7,29,141,10
704,8,29,141,10
705,9,29,141,5
706,10,29,141,5
707,11,29,141,6
708,12,29,141,6
709,13,29,141,10
710,14,29,141,10
711,15,29,141,6
712,16,29,141,2
713,17,29,141,1
714,18,29,141,5
715,19,29,141,4
716,20,29,141,4
717,21,29,141,0
718,22,29,141,5
719,23,29,141,0
720,0,30,145,1
721,1,30,145,0
722,2,30,145,0
723,3,30,145,0
724,4,30,145,0
725,5,30,145,1
726,6,30,145,3
727,7,30,145,10
728,8,30,145,7
729,9,30,145,6
730,10,30,145,4
731,11,30,145,2
732,12,30,145,5
733,13,30,145,4
734,14,30,145,1
735,15,30,145,6
736,16,30,145,2
737,17,30,145,1
738,18,30,145,2
739,19,30,145,1
740,20,30,145,1
741,21,30,145,0
742,22,30,145,3
743,23,30,145,0
744,0,31,150,2
745,1,31,150,0
746,2,31,150,0
747,3,31,150,0
748,4,31,150,0
749,5,31,150,1
750,6,31,150,3
751,7,31,150,8
752,8,31,150,10
753,9,31,150,7
754,10,31,150,3
755,11,31,150,2
756,12,31,150,7
757,13,31,150,10
758,14,31,150,4
759,15,31,150,6
760,16,31,150,4
761,17,31,150,5
762,18,31,150,4
763,19,31,150,4
764,20,31,150,1
765,21,31,150,0
766,22,31,150,1
767,23,31,150,1
768,0,32,158,0
769,1,32,158,1
770,2,32,158,0
771,3,32,158,0
772,4,32,158,0
773,5,32,158,3
774,6,32,158,4
775,7,32,158,9
776,8,32,158,12
777,9,32,158,6
778,10,32,158,1
779,11,32,158,4
780,12,32,158,6
781,13,32,158,5
782,14,32,158,4
783,15,32,158,8
784,16,32,158,2
785,17,32,158,2
786,18,32,158,0
787,19,32,158,2
788,20,32,158,0
789,21,32,158,2
790,22,32,158,3
791,23,32,158,3
792,0,33,166,0
793,1,33,166,0
794,2,33,166,1
795,3,33,166,0
796,4,33,166,0
797,5,33,166,2
798,6,33,166,5
799,7,33,166,10
800,8,33,166,14
801,9,33,166,5
802,10,33,166,4
803,11,33,166,4
804,12,33,166,5
805,13,33,166,9
806,14,33,166,8
807,15,33,166,8
808,16,33,166,3
809,17,33,166,5
810,18,33,166,6
811,19,33,166,5
812,20,33,166,1
813,21,33,166,1
814,22,33,166,3
815,23,33,166,1
816,0,34,174,0
817,1,34,174,0
818,2,34,174,0
819,3,34,174,0
820,4,34,174,0
821,5,34,174,0
822,6,34,174,3
823,7,34,174,14
824,8,34,174,11
825,9,34,174,2
826,10,34,174,7
827,11,34,174,6
828,12,34,174,7
829,13,34,174,3
830,14,34,174,11
831,15,34,174,8
832,16,34,174,6
833,17,34,174,3
834,18,34,174,7
835,19,34,174,3
836,20,34,174,2
837,21,34,174,2
838,22,34,174,1
839,23,34,174,2
840,0,35,176,0
841,1,35,176,0
842,2,35,176,0
843,3,35,176,0
844,4,35,176,1
845,5,35,176,0
846,6,35,176,4
847,7,35,176,11
848,8,35,176,19
849,9,35,176,5
850,10,35,176,5
851,11,35,176,2
852,12,35,176,7
853,13,35,176,7
854,14,35,176,10
855,15,35,176,5
856,16,35,176,5
857,17,35,176,3
858,18,35,176,6
859,19,35,176,3
860,20,35,176,0
861,21,35,176,0
862,22,35,176,0
863,23,35,176,2
864,0,36,180,0
865,1,36,180,0
866,2,36,180,0
867,3,36,180,0
868,4,36,180,0
869,5,36,180,2
870,6,36,180,3
871,7,36,180,11
872,8,36,180,9
873,9,36,180,2
874,10,36,180,1
875,11,36,180,3
876,12,36,180,9
877,13,36,180,9
878,14,36,180,10
879,15,36,180,3
880,16,36,180,5
881,17,36,180,3
882,18,36,180,3
883,19,36,180,4
884,20,36,180,1
885,21,36,180,0
886,22,36,180,0
887,23,36,180,3
888,0,37,181,1
889,1,37,181,0
890,2,37,181,0
891,3,37,181,0
892,4,37,181,0
893,5,37,181,1
894,6,37,181,5
895,7,37,181,9
896,8,37,181,9
897,9,37,181,5
898,10,37,181,6
899,11,37,181,10
900,12,37,181,5
901,13,37,181,6
902,14,37,181,8
903,15,37,181,10
904,16,37,181,2
905,17,37,181,0
906,18,37,181,2
907,19,37,181,9
908,20,37,181,1
909,21,37,181,1
910,22,37,181,5
911,23,37,181,2
912,0,38,197,0
913,1,38,197,0
914,2,38,197,0
915,3,38,197,0
916,4,38,197,0
917,5,38,197,1
918,6,38,197,5
919,7,38,197,9
920,8,38,197,11
921,9,38,197,5
922,10,38,197,6
923,11,38,197,7
924,12,38,197,12
925,13,38,197,6
926,14,38,197,4
927,15,38,197,8
928,16,38,197,5
929,17,38,197,0
930,18,38,197,8
931,19,38,197,4
932,20,38,197,1
933,21,38,197,0
934,22,38,197,3
935,23,38,197,1
936,0,39,198,0
937,1,39,198,0
938,2,39,198,0
939,3,39,198,0
940,4,39,198,0
941,5,39,198,1
942,6,39,198,4
943,7,39,198,15
944,8,39,198,9
945,9,39,198,7
946,10,39,198,8
947,11,39,198,4
948,12,39,198,6
949,13,39,198,8
950,14,39,198,7
951,15,39,198,7
952,16,39,198,4
953,17,39,198,4
954,18,39,198,5
955,19,39,198,2
956,20,39,198,1
957,21,39,198,1
958,22,39,198,3
959,23,39,198,3
960,0,40,201,0
961,1,40,201,0
962,2,40,201,0
963,3,40,201,0
964,4,40,201,0
965,5,40,201,0
966,6,40,201,6
967,7,40,201,12
968,8,40,201,11
